contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,ticker,spot_price,historical_volatility,dividend_yield,expiry,days_to_expiry,time_to_maturity,moneyness,mid_price,market_price,bid_ask_spread,distance_from_atm,r,iv_used,iv_source,option_type_std,moneyness_label,intrinsic_value,time_value,eep_candidate,company_name,sector,data_as_of
AAPL260522C00270000,2026-04-30 19:59:53+00:00,270.0,9.25,0.0,0.0,0.0,0.0,829.0,0,1.0000000000000004e-05,True,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,0.9950248532406496,0.0,9.25,0.0,0.0049751467593504,0.035850000381469724,0.2339447408966455,hist_vol_fallback,call,ATM,1.350006103515625,7.899993896484375,False,Apple Inc.,Technology,2026-05-01
AAPL260522C00275000,2026-04-30 19:59:45+00:00,275.0,6.75,0.0,0.0,0.0,0.0,924.0,0,0.01563484375,False,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,1.0134512394117727,0.0,6.75,0.0,0.0134512394117727,0.035850000381469724,0.01563484375,market_iv,call,ATM,0.0,6.75,False,Apple Inc.,Technology,2026-05-01
AAPL260522C00265000,2026-04-30 19:55:00+00:00,265.0,12.23,0.0,0.0,0.0,0.0,149.0,0,1.0000000000000004e-05,True,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,0.9765984670695264,0.0,12.23,0.0,0.0234015329304735,0.035850000381469724,0.2339447408966455,hist_vol_fallback,call,ATM,6.350006103515625,5.879993896484375,False,Apple Inc.,Technology,2026-05-01
AAPL260522C00280000,2026-04-30 19:59:51+00:00,280.0,4.79,0.0,0.0,0.0,0.0,707.0,0,0.0312596875,False,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,1.031877625582896,0.0,4.79,0.0,0.0318776255828958,0.035850000381469724,0.0312596875,market_iv,call,ITM,0.0,4.79,False,Apple Inc.,Technology,2026-05-01
AAPL260522C00260000,2026-04-30 19:57:38+00:00,260.0,15.0,0.0,0.0,0.0,0.0,31.0,0,1.0000000000000004e-05,True,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,0.9581720808984032,0.0,15.0,0.0,0.0418279191015966,0.035850000381469724,0.2339447408966455,hist_vol_fallback,call,OTM,11.350006103515625,3.649993896484375,False,Apple Inc.,Technology,2026-05-01
AAPL260522C00285000,2026-04-30 19:59:53+00:00,285.0,3.3,0.0,0.0,0.0,0.0,398.0,0,0.062509375,False,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,1.050304011754019,0.0,3.3,0.0,0.0503040117540189,0.035850000381469724,0.062509375,market_iv,call,ITM,0.0,3.3,False,Apple Inc.,Technology,2026-05-01
AAPL260522C00255000,2026-04-30 17:02:28+00:00,255.0,19.76,0.0,0.0,0.0,0.0,16.0,0,1.0000000000000004e-05,True,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,0.9397456947272802,0.0,19.76,0.0,0.0602543052727198,0.035850000381469724,0.2339447408966455,hist_vol_fallback,call,OTM,16.350006103515625,3.4099938964843766,False,Apple Inc.,Technology,2026-05-01
AAPL260522C00290000,2026-04-30 19:59:45+00:00,290.0,2.21,0.0,0.0,0.0,0.0,1210.0,0,0.062509375,False,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,1.068730397925142,0.0,2.21,0.0,0.0687303979251421,0.035850000381469724,0.062509375,market_iv,call,ITM,0.0,2.21,False,Apple Inc.,Technology,2026-05-01
AAPL260522C00250000,2026-04-30 19:59:36+00:00,250.0,24.0,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000004e-05,True,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,0.921319308556157,0.0,24.0,0.0,0.078680691443843,0.035850000381469724,0.2339447408966455,hist_vol_fallback,call,OTM,21.350006103515625,2.649993896484375,False,Apple Inc.,Technology,2026-05-01
AAPL260522C00295000,2026-04-30 19:56:06+00:00,295.0,1.4,0.0,0.0,0.0,0.0,389.0,0,0.062509375,False,REGULAR,USD,Call,AAPL,271.3500061035156,0.2339447408966455,0.0038326883235936,2026-05-22,21,0.0575342465753424,1.0871567840962653,0.0,1.4,0.0,0.0871567840962652,0.035850000381469724,0.062509375,market_iv,call,ITM,0.0,1.4,False,Apple Inc.,Technology,2026-05-01
